平台,排名,标题,热度,链接
微博,1,"北大将全面取消绩点",1350982,"https://s.weibo.com/weibo?q=%23%E5%8C%97%E5%A4%A7%E5%B0%86%E5%85%A8%E9%9D%A2%E5%8F%96%E6%B6%88%E7%BB%A9%E7%82%B9%23&t=31&band_rank=1&Refer=top"
微博,2,"长期不换各种社交头像",823065,"https://s.weibo.com/weibo?q=%E9%95%BF%E6%9C%9F%E4%B8%8D%E6%8D%A2%E5%90%84%E7%A7%8D%E7%A4%BE%E4%BA%A4%E5%A4%B4%E5%83%8F&t=31&band_rank=2&Refer=top"
微博,3,"第五届中国新电商大会",809088,"https://s.weibo.com/weibo?q=%23%E7%AC%AC%E4%BA%94%E5%B1%8A%E4%B8%AD%E5%9B%BD%E6%96%B0%E7%94%B5%E5%95%86%E5%A4%A7%E4%BC%9A%23&t=31&band_rank=3&Refer=top"
微博,4,"快递 蟑螂卵",807245,"https://s.weibo.com/weibo?q=%E5%BF%AB%E9%80%92%20%E8%9F%91%E8%9E%82%E5%8D%B5&t=31&band_rank=4&Refer=top"
微博,5,"谢娜张杰夫妻俩是真没把我当外人",综艺 623063,"https://s.weibo.com/weibo?q=%E8%B0%A2%E5%A8%9C%E5%BC%A0%E6%9D%B0%E5%A4%AB%E5%A6%BB%E4%BF%A9%E6%98%AF%E7%9C%9F%E6%B2%A1%E6%8A%8A%E6%88%91%E5%BD%93%E5%A4%96%E4%BA%BA&t=31&band_rank=5&Refer=top"
微博,6,"女生凌晨未接挪车电话车子被砸",510705,"https://s.weibo.com/weibo?q=%23%E5%A5%B3%E7%94%9F%E5%87%8C%E6%99%A8%E6%9C%AA%E6%8E%A5%E6%8C%AA%E8%BD%A6%E7%94%B5%E8%AF%9D%E8%BD%A6%E5%AD%90%E8%A2%AB%E7%A0%B8%23&t=31&band_rank=6&Refer=top"
微博,•,"周深被深深鲜到了",,"https://s.weibo.comjavascript:void(0);"
微博,7,"张碧晨有三首歌都是汪苏泷作词作曲",音乐 500089,"https://s.weibo.com/weibo?q=%23%E5%BC%A0%E7%A2%A7%E6%99%A8%E6%9C%89%E4%B8%89%E9%A6%96%E6%AD%8C%E9%83%BD%E6%98%AF%E6%B1%AA%E8%8B%8F%E6%B3%B7%E4%BD%9C%E8%AF%8D%E4%BD%9C%E6%9B%B2%23&t=31&band_rank=7&Refer=top"
微博,8,"董璇张维伊求婚视频",综艺 493726,"https://s.weibo.com/weibo?q=%23%E8%91%A3%E7%92%87%E5%BC%A0%E7%BB%B4%E4%BC%8A%E6%B1%82%E5%A9%9A%E8%A7%86%E9%A2%91%23&t=31&band_rank=8&Refer=top"
微博,9,"薄底鞋 筋膜炎",471661,"https://s.weibo.com/weibo?q=%E8%96%84%E5%BA%95%E9%9E%8B%20%E7%AD%8B%E8%86%9C%E7%82%8E&t=31&band_rank=9&Refer=top"
微博,10,"皮蛋 不能生吃",364973,"https://s.weibo.com/weibo?q=%E7%9A%AE%E8%9B%8B%20%E4%B8%8D%E8%83%BD%E7%94%9F%E5%90%83&t=31&band_rank=10&Refer=top"
微博,11,"抠抠搜搜花了两万块买破烂",359535,"https://s.weibo.com/weibo?q=%E6%8A%A0%E6%8A%A0%E6%90%9C%E6%90%9C%E8%8A%B1%E4%BA%86%E4%B8%A4%E4%B8%87%E5%9D%97%E4%B9%B0%E7%A0%B4%E7%83%82&t=31&band_rank=11&Refer=top"
微博,12,"美国在病毒爆发前研发出疫苗",315741,"https://s.weibo.com/weibo?q=%23%E7%BE%8E%E5%9B%BD%E5%9C%A8%E7%97%85%E6%AF%92%E7%88%86%E5%8F%91%E5%89%8D%E7%A0%94%E5%8F%91%E5%87%BA%E7%96%AB%E8%8B%97%23&t=31&band_rank=12&Refer=top"
微博,13,"宋亚轩回应粉丝长灯牌",演出 301436,"https://s.weibo.com/weibo?q=%23%E5%AE%8B%E4%BA%9A%E8%BD%A9%E5%9B%9E%E5%BA%94%E7%B2%89%E4%B8%9D%E9%95%BF%E7%81%AF%E7%89%8C%23&t=31&band_rank=13&Refer=top"
微博,14,"房主任说女儿来了血压快飙到300",综艺 212720,"https://s.weibo.com/weibo?q=%E6%88%BF%E4%B8%BB%E4%BB%BB%E8%AF%B4%E5%A5%B3%E5%84%BF%E6%9D%A5%E4%BA%86%E8%A1%80%E5%8E%8B%E5%BF%AB%E9%A3%99%E5%88%B0300&t=31&band_rank=14&Refer=top"
微博,15,"樱桃琥珀大结局",剧集 212110,"https://s.weibo.com/weibo?q=%E6%A8%B1%E6%A1%83%E7%90%A5%E7%8F%80%E5%A4%A7%E7%BB%93%E5%B1%80&t=31&band_rank=15&Refer=top"
微博,16,"基孔肯雅热 后遗症",207542,"https://s.weibo.com/weibo?q=%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%83%AD%20%E5%90%8E%E9%81%97%E7%97%87&t=31&band_rank=16&Refer=top"
微博,17,"沙溢因为我是军艺校草",191399,"https://s.weibo.com/weibo?q=%E6%B2%99%E6%BA%A2%E5%9B%A0%E4%B8%BA%E6%88%91%E6%98%AF%E5%86%9B%E8%89%BA%E6%A0%A1%E8%8D%89&t=31&band_rank=17&Refer=top"
微博,18,"谭爷爷给花花和叶说当了火炬手",190830,"https://s.weibo.com/weibo?q=%23%E8%B0%AD%E7%88%B7%E7%88%B7%E7%BB%99%E8%8A%B1%E8%8A%B1%E5%92%8C%E5%8F%B6%E8%AF%B4%E5%BD%93%E4%BA%86%E7%81%AB%E7%82%AC%E6%89%8B%23&t=31&band_rank=18&Refer=top"
微博,19,"王琳给儿子打电话情绪失控",综艺 190815,"https://s.weibo.com/weibo?q=%E7%8E%8B%E7%90%B3%E7%BB%99%E5%84%BF%E5%AD%90%E6%89%93%E7%94%B5%E8%AF%9D%E6%83%85%E7%BB%AA%E5%A4%B1%E6%8E%A7&t=31&band_rank=19&Refer=top"
百度,1,"中国最神秘军校72年来首次招女生",,"https://m.baidu.com/s?word=%E4%B8%AD%E5%9B%BD%E6%9C%80%E7%A5%9E%E7%A7%98%E5%86%9B%E6%A0%A172%E5%B9%B4%E6%9D%A5%E9%A6%96%E6%AC%A1%E6%8B%9B%E5%A5%B3%E7%94%9F&sa=fyb_news"
百度,2,"百度获上海智能网联汽车示范运营牌照",,"https://m.baidu.com/s?word=%E7%99%BE%E5%BA%A6%E8%8E%B7%E4%B8%8A%E6%B5%B7%E6%99%BA%E8%83%BD%E7%BD%91%E8%81%94%E6%B1%BD%E8%BD%A6%E7%A4%BA%E8%8C%83%E8%BF%90%E8%90%A5%E7%89%8C%E7%85%A7&sa=fyb_news"
百度,3,"这些知识提前知道能救命",,"https://m.baidu.com/s?word=%E8%BF%99%E4%BA%9B%E7%9F%A5%E8%AF%86%E6%8F%90%E5%89%8D%E7%9F%A5%E9%81%93%E8%83%BD%E6%95%91%E5%91%BD&sa=fyb_news"
百度,4,"25年前与普京合影的中国男孩找到了",,"https://m.baidu.com/s?word=25%E5%B9%B4%E5%89%8D%E4%B8%8E%E6%99%AE%E4%BA%AC%E5%90%88%E5%BD%B1%E7%9A%84%E4%B8%AD%E5%9B%BD%E7%94%B7%E5%AD%A9%E6%89%BE%E5%88%B0%E4%BA%86&sa=fyb_news"
百度,5,"股市“起飞”众生相：90后喊朋友加仓",,"https://m.baidu.com/s?word=%E8%82%A1%E5%B8%82%E2%80%9C%E8%B5%B7%E9%A3%9E%E2%80%9D%E4%BC%97%E7%94%9F%E7%9B%B8%EF%BC%9A90%E5%90%8E%E5%96%8A%E6%9C%8B%E5%8F%8B%E5%8A%A0%E4%BB%93&sa=fyb_news"
百度,6,"30分7秒按45分收费 向上取整成惯例",,"https://m.baidu.com/s?word=30%E5%88%867%E7%A7%92%E6%8C%8945%E5%88%86%E6%94%B6%E8%B4%B9+%E5%90%91%E4%B8%8A%E5%8F%96%E6%95%B4%E6%88%90%E6%83%AF%E4%BE%8B&sa=fyb_news"
百度,7,"张文宏：人也是基孔肯雅热的传染源",,"https://m.baidu.com/s?word=%E5%BC%A0%E6%96%87%E5%AE%8F%EF%BC%9A%E4%BA%BA%E4%B9%9F%E6%98%AF%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%83%AD%E7%9A%84%E4%BC%A0%E6%9F%93%E6%BA%90&sa=fyb_news"
百度,8,"创始人被曝4婚5娃 润田矿泉水回应",,"https://m.baidu.com/s?word=%E5%88%9B%E5%A7%8B%E4%BA%BA%E8%A2%AB%E6%9B%9D4%E5%A9%9A5%E5%A8%83+%E6%B6%A6%E7%94%B0%E7%9F%BF%E6%B3%89%E6%B0%B4%E5%9B%9E%E5%BA%94&sa=fyb_news"
百度,9,"董璇首次详谈高云翔事件",,"https://m.baidu.com/s?word=%E8%91%A3%E7%92%87%E9%A6%96%E6%AC%A1%E8%AF%A6%E8%B0%88%E9%AB%98%E4%BA%91%E7%BF%94%E4%BA%8B%E4%BB%B6&sa=fyb_news"
百度,10,"全球资管巨头“抄底”中国房地产",,"https://m.baidu.com/s?word=%E5%85%A8%E7%90%83%E8%B5%84%E7%AE%A1%E5%B7%A8%E5%A4%B4%E2%80%9C%E6%8A%84%E5%BA%95%E2%80%9D%E4%B8%AD%E5%9B%BD%E6%88%BF%E5%9C%B0%E4%BA%A7&sa=fyb_news"
百度,11,"广西突发基孔肯雅热疫情？假",,"https://m.baidu.com/s?word=%E5%B9%BF%E8%A5%BF%E7%AA%81%E5%8F%91%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%83%AD%E7%96%AB%E6%83%85%EF%BC%9F%E5%81%87&sa=fyb_news"
百度,12,"新娘结婚第2天跑路 法院判了",,"https://m.baidu.com/s?word=%E6%96%B0%E5%A8%98%E7%BB%93%E5%A9%9A%E7%AC%AC2%E5%A4%A9%E8%B7%91%E8%B7%AF+%E6%B3%95%E9%99%A2%E5%88%A4%E4%BA%86&sa=fyb_news"
百度,13,"兵马俑身上发现100多枚工匠指纹",,"https://m.baidu.com/s?word=%E5%85%B5%E9%A9%AC%E4%BF%91%E8%BA%AB%E4%B8%8A%E5%8F%91%E7%8E%B0100%E5%A4%9A%E6%9E%9A%E5%B7%A5%E5%8C%A0%E6%8C%87%E7%BA%B9&sa=fyb_news"
百度,14,"《年轮》纠纷 撕裂了谁的体面",,"https://m.baidu.com/s?word=%E3%80%8A%E5%B9%B4%E8%BD%AE%E3%80%8B%E7%BA%A0%E7%BA%B7+%E6%92%95%E8%A3%82%E4%BA%86%E8%B0%81%E7%9A%84%E4%BD%93%E9%9D%A2&sa=fyb_news"
百度,15,"百度新一代数字人技术NOVA亮相WAIC",,"https://m.baidu.com/s?word=%E7%99%BE%E5%BA%A6%E6%96%B0%E4%B8%80%E4%BB%A3%E6%95%B0%E5%AD%97%E4%BA%BA%E6%8A%80%E6%9C%AFNOVA%E4%BA%AE%E7%9B%B8WAIC&sa=fyb_news"
百度,16,"50多名犹太少年在西班牙被赶下飞机",,"https://m.baidu.com/s?word=50%E5%A4%9A%E5%90%8D%E7%8A%B9%E5%A4%AA%E5%B0%91%E5%B9%B4%E5%9C%A8%E8%A5%BF%E7%8F%AD%E7%89%99%E8%A2%AB%E8%B5%B6%E4%B8%8B%E9%A3%9E%E6%9C%BA&sa=fyb_news"
百度,17,"杭州6人男寝4清北1浙大1交大",,"https://m.baidu.com/s?word=%E6%9D%AD%E5%B7%9E6%E4%BA%BA%E7%94%B7%E5%AF%9D4%E6%B8%85%E5%8C%971%E6%B5%99%E5%A4%A71%E4%BA%A4%E5%A4%A7&sa=fyb_news"
百度,18,"方便面江湖巨变 正变成“康白对决”",,"https://m.baidu.com/s?word=%E6%96%B9%E4%BE%BF%E9%9D%A2%E6%B1%9F%E6%B9%96%E5%B7%A8%E5%8F%98+%E6%AD%A3%E5%8F%98%E6%88%90%E2%80%9C%E5%BA%B7%E7%99%BD%E5%AF%B9%E5%86%B3%E2%80%9D&sa=fyb_news"
百度,19,"泰方向26国发函：柬方先开火",,"https://m.baidu.com/s?word=%E6%B3%B0%E6%96%B9%E5%90%9126%E5%9B%BD%E5%8F%91%E5%87%BD%EF%BC%9A%E6%9F%AC%E6%96%B9%E5%85%88%E5%BC%80%E7%81%AB&sa=fyb_news"
百度,20,"2025世界人工智能大会",,"https://m.baidu.com/s?word=2025%E4%B8%96%E7%95%8C%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E5%A4%A7%E4%BC%9A&sa=fyb_news"
今日头条,1,"31岁男子北海乘摩托艇遇难 家属发声",,"https://www.toutiao.com/trending/7531004733553655847/?category_name=topic_innerflow&event_type=hot_board&log_pb=%7B%22category_name%22%3A%22topic_innerflow%22%2C%22cluster_type%22%3A%226%22%2C%22enter_from%22%3A%22click_category%22%2C%22entrance_hotspot%22%3A%22outside%22%2C%22event_type%22%3A%22hot_board%22%2C%22hot_board_cluster_id%22%3A%227531004733553655847%22%2C%22hot_board_impr_id%22%3A%22202507261554204A7131B63E8B1CACFFCB%22%2C%22jump_page%22%3A%22hot_board_page%22%2C%22location%22%3A%22news_hot_card%22%2C%22page_location%22%3A%22hot_board_page%22%2C%22rank%22%3A%221%22%2C%22source%22%3A%22trending_tab%22%2C%22style_id%22%3A%2240132%22%2C%22title%22%3A%2231%E5%B2%81%E7%94%B7%E5%AD%90%E5%8C%97%E6%B5%B7%E4%B9%98%E6%91%A9%E6%89%98%E8%89%87%E9%81%87%E9%9A%BE+%E5%AE%B6%E5%B1%9E%E5%8F%91%E5%A3%B0%22%7D&rank=1&style_id=40132&topic_id=7531004733553655847"
今日头条,2,"确诊超4000例 基孔肯雅热啥来头",,"https://www.toutiao.com/trending/7531182282158116379/?category_name=topic_innerflow&event_type=hot_board&log_pb=%7B%22category_name%22%3A%22topic_innerflow%22%2C%22cluster_type%22%3A%2213%22%2C%22enter_from%22%3A%22click_category%22%2C%22entrance_hotspot%22%3A%22outside%22%2C%22event_type%22%3A%22hot_board%22%2C%22hot_board_cluster_id%22%3A%227531182282158116379%22%2C%22hot_board_impr_id%22%3A%22202507261554204A7131B63E8B1CACFFCB%22%2C%22jump_page%22%3A%22hot_board_page%22%2C%22location%22%3A%22news_hot_card%22%2C%22page_location%22%3A%22hot_board_page%22%2C%22rank%22%3A%222%22%2C%22source%22%3A%22trending_tab%22%2C%22style_id%22%3A%2240132%22%2C%22title%22%3A%22%E7%A1%AE%E8%AF%8A%E8%B6%854000%E4%BE%8B+%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%83%AD%E5%95%A5%E6%9D%A5%E5%A4%B4%22%7D&rank=2&style_id=40132&topic_id=7531182282158116379"
今日头条,3,"这些中国名片正在闪闪发光",,"https://www.toutiao.com/article/7531194003228770855"
今日头条,4,"多地闻“汛”而动全力应对强降雨天气",,"https://www.toutiao.com/trending/7531205139214893099/?category_name=topic_innerflow&event_type=hot_board&log_pb=%7B%22category_name%22%3A%22topic_innerflow%22%2C%22cluster_type%22%3A%226%22%2C%22enter_from%22%3A%22click_category%22%2C%22entrance_hotspot%22%3A%22outside%22%2C%22event_type%22%3A%22hot_board%22%2C%22hot_board_cluster_id%22%3A%227531205139214893099%22%2C%22hot_board_impr_id%22%3A%22202507261554204A7131B63E8B1CACFFCB%22%2C%22jump_page%22%3A%22hot_board_page%22%2C%22location%22%3A%22news_hot_card%22%2C%22page_location%22%3A%22hot_board_page%22%2C%22rank%22%3A%224%22%2C%22source%22%3A%22trending_tab%22%2C%22style_id%22%3A%2240132%22%2C%22title%22%3A%22%E5%A4%9A%E5%9C%B0%E9%97%BB%E2%80%9C%E6%B1%9B%E2%80%9D%E8%80%8C%E5%8A%A8%E5%85%A8%E5%8A%9B%E5%BA%94%E5%AF%B9%E5%BC%BA%E9%99%8D%E9%9B%A8%E5%A4%A9%E6%B0%94%22%7D&rank=4&style_id=40132&topic_id=7531205139214893099"
今日头条,5,"特朗普回应法国将承认巴勒斯坦国",,"https://www.toutiao.com/trending/7531248448113348146/?category_name=topic_innerflow&event_type=hot_board&log_pb=%7B%22category_name%22%3A%22topic_innerflow%22%2C%22cluster_type%22%3A%222%22%2C%22enter_from%22%3A%22click_category%22%2C%22entrance_hotspot%22%3A%22outside%22%2C%22event_type%22%3A%22hot_board%22%2C%22hot_board_cluster_id%22%3A%227531248448113348146%22%2C%22hot_board_impr_id%22%3A%22202507261554204A7131B63E8B1CACFFCB%22%2C%22jump_page%22%3A%22hot_board_page%22%2C%22location%22%3A%22news_hot_card%22%2C%22page_location%22%3A%22hot_board_page%22%2C%22rank%22%3A%225%22%2C%22source%22%3A%22trending_tab%22%2C%22style_id%22%3A%2240132%22%2C%22title%22%3A%22%E7%89%B9%E6%9C%97%E6%99%AE%E5%9B%9E%E5%BA%94%E6%B3%95%E5%9B%BD%E5%B0%86%E6%89%BF%E8%AE%A4%E5%B7%B4%E5%8B%92%E6%96%AF%E5%9D%A6%E5%9B%BD%22%7D&rank=5&style_id=40132&topic_id=7531248448113348146"
今日头条,6,"美客机紧急下降致两名空乘人员受伤",,"https://www.toutiao.com/trending/7531201620751777834/?category_name=topic_innerflow&event_type=hot_board&log_pb=%7B%22category_name%22%3A%22topic_innerflow%22%2C%22cluster_type%22%3A%226%22%2C%22enter_from%22%3A%22click_category%22%2C%22entrance_hotspot%22%3A%22outside%22%2C%22event_type%22%3A%22hot_board%22%2C%22hot_board_cluster_id%22%3A%227531201620751777834%22%2C%22hot_board_impr_id%22%3A%22202507261554204A7131B63E8B1CACFFCB%22%2C%22jump_page%22%3A%22hot_board_page%22%2C%22location%22%3A%22news_hot_card%22%2C%22page_location%22%3A%22hot_board_page%22%2C%22rank%22%3A%226%22%2C%22source%22%3A%22trending_tab%22%2C%22style_id%22%3A%2240132%22%2C%22title%22%3A%22%E7%BE%8E%E5%AE%A2%E6%9C%BA%E7%B4%A7%E6%80%A5%E4%B8%8B%E9%99%8D%E8%87%B4%E4%B8%A4%E5%90%8D%E7%A9%BA%E4%B9%98%E4%BA%BA%E5%91%98%E5%8F%97%E4%BC%A4%22%7D&rank=6&style_id=40132&topic_id=7531201620751777834"
今日头条,7,"韩红说将拍自己的首部电影",,"https://www.toutiao.com/trending/7530786248718499881/?category_name=topic_innerflow&event_type=hot_board&log_pb=%7B%22category_name%22%3A%22topic_innerflow%22%2C%22cluster_type%22%3A%221%22%2C%22enter_from%22%3A%22click_category%22%2C%22entrance_hotspot%22%3A%22outside%22%2C%22event_type%22%3A%22hot_board%22%2C%22hot_board_cluster_id%22%3A%227530786248718499881%22%2C%22hot_board_impr_id%22%3A%22202507261554204A7131B63E8B1CACFFCB%22%2C%22jump_page%22%3A%22hot_board_page%22%2C%22location%22%3A%22news_hot_card%22%2C%22page_location%22%3A%22hot_board_page%22%2C%22rank%22%3A%227%22%2C%22source%22%3A%22trending_tab%22%2C%22style_id%22%3A%2240132%22%2C%22title%22%3A%22%E9%9F%A9%E7%BA%A2%E8%AF%B4%E5%B0%86%E6%8B%8D%E8%87%AA%E5%B7%B1%E7%9A%84%E9%A6%96%E9%83%A8%E7%94%B5%E5%BD%B1%22%7D&rank=7&style_id=40132&topic_id=7530786248718499881"
